fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.647708971363378,0.8263631134675251,0.0068938522445875115,2.1689385224458753,0.06689385224458752,5.310614775541249,13.689385224458752,0.9966813631134676,3.403865989396137,0.5893184432662374,10.689385224458752,4
6.380012229709024,0.6980012229709024,0.07371376158389897,2.710289907328808,0.07536014675650829,17.15434860993212,62.965700308903976,0.996883738221002,3.747427523167798,0.6413719876438411,11.421702754845779,4
5.60861635159043,0.6223694966873683,0.029569182420478485,1.5086163515904303,0.079712788280319,6.0,13.0,0.9950038385727334,3.6589947589811165,0.6198563941401595,10.098563941401595,4
7.525225878017734,0.5931984103557633,0.13728432003994384,2.144658991286981,0.0877091227881661,4.446589912869809,10.126129390088664,0.9955489070187692,3.3864092104556227,0.58,11.221364034852076,4
8.796540440320504,0.5307942202701255,0.18611011452728043,2.0947051981991636,0.09709777444822595,6.0,13.743381497748954,0.9970763358236521,3.4221179207203347,0.5456618502251046,10.025661850225104,4
6.614238982465687,0.7821431794312712,0.005713641137457746,2.028579485781778,0.06257113851185599,5.714317943127113,13.142841028436443,0.9968342637986736,3.5471476914690667,0.6000011280094489,9.957147691469066,4
5.5243146109326196,0.5564861030631297,0.15972962748350125,2.1243240687087535,0.06348638679641372,8.729722061262594,67.43240687087531,0.9943632331208666,3.729731519038728,0.567297220612626,12.151361320358626,4
6.353830903586101,0.7731668535702999,0.008283202500790088,2.1473325857188006,0.059763337071405985,5.881668535702999,12.526674142811995,0.9966021339314249,3.5651503924976296,0.6029001121421799,10.1064983178673,4
8.005123019551858,0.7491649813543535,0.058444075359337766,2.1789373585394185,0.07674004526738612,4.789373585394184,12.525615097759285,0.9962618970576199,3.3452751697526977,0.58,11.084250565842327,4
7.260976156149377,0.5674799434401104,0.13772342242434318,2.3406507707662514,0.0755284152157123,4.601626926915628,8.203253853831256,0.9956427657757565,3.4039023843850624,0.5619511921925312,11.099186536542186,4
7.810140162515421,0.7115629495899246,0.03631468617861549,1.563146861786155,0.0787370627642769,4.737062764276902,13.631468617861549,0.9968870352259419,3.426356611391227,0.5694825105710761,9.84741255285538,4
6.32678770438433,0.49141448307046476,0.14740416763131478,1.8354404789466137,0.0922994842280425,4.8818650701779545,9.645595210533862,0.994778735712632,3.537005157719575,0.5976373014035591,10.82678770438433,4
8.976318395106162,0.7439179082567324,0.05124378226307605,1.6281094556576903,0.07934925387156913,4.0,13.606467620792337,0.997809980079754,3.298432836697307,0.5422487564526153,9.795572149236145,4
8.946775813885482,0.75865214086097,0.03956221661110138,1.595622166111014,0.07808755667777972,4.087556677779724,13.956221661110138,0.9978677894165526,3.306197985389249,0.543502267111189,9.717511335555944,4
7.42987801912007,0.6505233594007012,0.08986789458264682,2.4532520127467135,0.06314227859786144,4.883130031866783,8.766260063733567,0.9961213210541735,3.387012198087993,0.5535060990439965,10.958434984066608,4
8.503500363530906,0.7691137905963386,0.03177241880732284,1.7028447649084646,0.07429758846329527,4.411379059633858,13.79431047018307,0.997720262239449,3.3517068589450787,0.5543982670871851,9.761706858945079,4
8.603214462275904,0.8146785537724096,0.021370542335346403,1.9725891532930722,0.07303214462275905,4.62098192215512,14.0,0.9971927235011984,3.3086294576646536,0.5648392768862048,10.507276498801655,4
5.9569944056613835,0.5568394513060629,0.08766832706837727,1.6647666487667923,0.0860414437881157,5.450777837444026,11.352333512332077,0.9948811400107399,3.599585562118843,0.6090155567488805,10.456994405661383,4
9.726209062974906,0.5048499796379096,0.23151253563365815,2.2676668024139355,0.10207042056940065,6.0,13.95958350301742,0.9976860254785092,3.3529332790344255,0.5240416496982581,10.004041649698259,4
5.653168511948577,0.6346213407858586,0.02734157440257115,1.553168511948577,0.07822771626838076,6.0,13.0,0.9951270995497243,3.6537970069393326,0.6191138581341904,10.091138581341903,4
6.739044597565395,0.7435350309565081,0.02902547833044436,2.265859876173968,0.059170700619130115,5.58535030956508,11.341401238260323,0.9965073120990608,3.502923565008667,0.5851210185739049,10.373184721391427,4
7.1043690840652935,0.7787629718340325,0.012474056331935084,1.9440742958508115,0.06561332534937078,5.376297183403246,13.311851408298377,0.9970641179152858,3.496444577510487,0.5881704014191136,9.906444577510486,4
6.1200722604958,0.7630198716363451,0.003996386975209979,2.0200722604958004,0.06266425798347332,6.0,13.0,0.9964188665873717,3.5993249029421563,0.6113321289917366,10.013321289917366,4
7.356481351809748,0.6959196796578978,0.07501500660387551,2.1625125055032295,0.07344018868319437,6.0,13.312562527516148,0.9970025725319187,3.511859368120963,0.5818693725235466,10.0,4
7.224209678282426,0.5494030918221927,0.14814059115331268,2.3161397855216173,0.07822462359262206,4.540349463804043,8.080698927608086,0.9955385940884668,3.4075790321717574,0.5637895160858787,11.12982526809798,4
7.4962006462318325,0.4916251101531532,0.1857999412516516,1.9644998531291291,0.09549599295019819,4.0,8.897002056192193,0.995535980992847,3.399349955938739,0.5691599882503303,10.93929950063904,4
5.137020557105368,0.5315075833665436,0.169179305610906,2.189503426184228,0.05834730927180536,9.150758336654361,62.57062128928524,0.9939370205571053,3.818168296060134,0.553606898129698,12.614124257857048,4
8.024162082590031,0.8220135068825025,0.012043243832666438,2.1284864658566747,0.07102162191633322,5.1021621916333215,13.897837808366678,0.9965242810303907,3.3547351451553293,0.5840864876653329,10.90805402753001,4
6.919264795139462,0.7800395531369693,0.00992089372606154,1.9759888284242308,0.06446440217672769,5.503955313696923,13.248022343151538,0.996977310386686,3.5155932970545383,0.5926384359793924,9.925593297054538,4
6.036961663284131,0.7401644574031362,0.008151916835793423,1.9369616632841316,0.06543461122386228,6.0,13.0,0.9961889272684195,3.609021139283518,0.6127173056119312,10.027173056119311,4
5.603631629728769,0.5415063920656165,0.18584398677602745,2.267271938288128,0.06212463700256622,10.150639206561648,60.459761675036525,0.9944036316297288,3.747065656422283,0.5480520044079908,12.191952335007304,4
8.602270173146815,0.8147729826853185,0.021335131493005553,1.973297370139889,0.07302270173146815,4.622162283566482,14.0,0.9971911890313636,3.308664868506994,0.5648864913426592,10.508810968636427,4
7.3766084703736015,0.7680507058644668,0.01683993725649184,1.9606021960227857,0.07341996862824593,5.341996862824592,13.658003137175408,0.9961117653959417,3.436278933360361,0.5936798745129837,10.692202823457867,4
9.137716766169046,0.7525063212065037,0.04942919154226134,1.6330021703979147,0.07917864894278266,4.094291915422613,14.0,0.9979905708084578,3.2923572978855655,0.5390570808457739,9.714143787313391,4
6.101739113206828,0.7579782561318776,0.004913044339658609,2.0017391132068276,0.06327536289310573,6.0,13.0,0.9963681448798722,3.60146377012587,0.6116376814465528,10.016376814465529,4
7.432474714229753,0.5630542821246693,0.1525220112336836,2.1380339081592683,0.08982914938903425,4.38033908159268,9.662373571148759,0.9954111052897128,3.3943593102088783,0.58,11.247864367362927,4
6.7455296254735435,0.7812377267208721,0.007524546558255776,2.005943168021803,0.0633860459512151,5.623772672087211,13.188113663956395,0.9968958345829807,3.5335659008130818,0.5968320435230524,9.943565900813082,4
7.049219798266398,0.6695785720459557,0.06050989048981892,2.262747262245473,0.06321956023059952,5.2372527377545275,9.949010951018108,0.9960020813314089,3.4464307665712677,0.5666076916428169,10.710197809796378,4
6.41570352413598,0.7684074212203094,0.011614805145783494,2.1663703151187628,0.05966814842440617,5.834074212203093,12.336296848812372,0.9965869037479049,3.5551555845626495,0.6000444527321855,10.149333209017216,4
6.924138366076167,0.3941144942175284,0.23780560308398485,2.094514007709962,0.10173667237007818,4.0,7.07680389206053,0.9946570853078806,3.4383542023129885,0.5795611206167969,11.381347626213872,4
6.52910868703426,0.712910868703426,0.06732391341281742,2.7614086926974606,0.07714930424441113,17.92113039046191,62.79530435767513,0.9971755412874813,3.734647826825635,0.6481878256929947,11.281126095081984,4
7.477546420444302,0.8215013262984087,0.006083554383068104,2.160835543830681,0.06608355438306811,5.391644561693189,13.60835543830681,0.9966765013262984,3.4257440316571612,0.5917493368507957,10.60835543830681,4
7.259551224386255,0.6887528364388592,0.03474157492681788,1.5474157492681788,0.07905168501463643,5.051685014636425,13.474157492681787,0.996411955627899,3.4845617277077388,0.582067400585457,9.910337002927285,4
8.458791721539273,0.8291208278460727,0.01595468955772273,2.0809062088455454,0.07158791721539273,4.801510348075909,14.0,0.9969580365475014,3.3140453104422773,0.5720604139230363,10.741963452498682,4
5.698076666950507,0.6469710834113893,0.025096166652474664,1.5980766669505067,0.07673077776831644,6.0,13.0,0.9952513454452298,3.6485577221891075,0.6183653888841583,10.083653888841582,4
9.143120913842534,0.7507161972896607,0.050780228460633445,1.6377307996122172,0.07934752855757918,4.1078022846063345,14.0,0.9979892197715393,3.2926950571151585,0.5389219771539366,9.71617034269095,4
6.004091081892707,0.7311250475204943,0.009795445905364672,1.9040910818927066,0.06653029727024312,6.0,13.0,0.9960979853265698,3.612856040445851,0.6132651486351215,10.032651486351215,4
6.820004583074621,0.6617369988946582,0.055684307012097305,2.1421076753024324,0.06587363114334642,5.357892324697567,10.43156929879027,0.9958404242849053,3.480209850915319,0.5750524627288297,10.613686140241946,4
6.032266939634636,0.7388734083995249,0.008386653018268214,1.9322669396346357,0.06559110201217881,6.0,13.0,0.9961759385329891,3.6095688570426256,0.6127955510060894,10.027955510060893,4
7.756795364830056,0.7742634802425513,0.021473039514897332,1.8315870060637836,0.0696628677817038,4.926348024255134,13.536825987872433,0.9973700833435065,3.42895220363827,0.5724221808489297,9.83895220363827,4
8.828918453737966,0.9366849792992888,0.04903605154206784,1.7807210308413568,0.07528918453737965,4.903605154206784,18.51802577103392,0.9963373665162596,3.2990360515420676,0.4496394845793216,9.609639484579322,4
4.867971152983313,0.5708028644197531,0.13771798882159814,2.088834535292362,0.057684603353520554,8.446618588305522,65.22330929415276,0.9936512229559218,3.8385899441079907,0.5644661858830553,12.686877805817392,4
9.501245663731929,0.6320873738887983,0.1403114159329824,1.9510899557654384,0.0905389269916228,5.003114159329824,14.0,0.9978996885840671,3.3150778539832455,0.5299688584067018,9.850467123899474,4
5.968378652438431,0.6506982210365359,0.02727126924119681,1.5955055765581116,0.0786356346205984,5.86356346205984,13.13643653794016,0.995214670845257,3.613611577100346,0.6145425384823936,10.222792884146143,4
8.079603150722633,0.6573527559495776,0.18662740158655403,2.1915685039663853,0.08971171654689017,10.74705511899155,74.1568503966385,0.9970261127570689,3.2590204722353047,0.5874705511899155,9.528828345310982,4
8.085714870717174,0.8388775677347764,0.008979594622462731,2.1897959462246277,0.06897959462246274,5.102040537753727,13.897959462246273,0.9966938775677348,3.347550945193506,0.5830612161326117,10.897959462246273,4
6.841323385983449,0.7356674318474271,0.034532797706801066,2.2973302726102918,0.05901334863694849,5.50667431847427,11.026697273897081,0.9964821357819117,3.4864016068795967,0.5804004591084563,10.443993113373157,4
9.048958202680792,0.7973264716354984,0.0417013932439736,1.6340278648794722,0.07748958202680792,4.17013932439736,14.8506966219868,0.9976869436431088,3.2917013932439736,0.522986067560264,9.682986067560263,4
6.697916703614247,0.6654851205783046,0.03313690486746928,1.5313690486746927,0.07937261902650615,5.372619026506144,13.313690486746928,0.9959273452699757,3.5439345199036367,0.5949047610602458,9.974523805301228,4
6.942797321835502,0.7798772598494104,0.010245480301179336,1.9719314962352583,0.0646104661355307,5.487725984941033,13.256137007529484,0.99698834633024,3.513158897741155,0.5920704094729362,9.923158897741155,4
8.03758957926917,0.583907314648154,0.1365827655209845,1.8414569138024612,0.08958993186251814,4.0,10.619603206765543,0.9963677512626954,3.3624370741407383,0.5593165531041969,10.520953506928368,4
6.5035027304784965,0.6137377449442774,0.10405807902119857,2.1,0.07821016382870975,5.132849341490012,10.398548024470035,0.9957641778349049,3.524963700611751,0.5969927401223502,10.607005460956993,4
7.3030232552809835,0.6905538205759265,0.03486578072937424,1.5486578072937425,0.07902684385412516,5.026843854125152,13.486578072937423,0.996449465780271,3.479966113013153,0.5810737541650061,9.90536877082503,4
7.072631951572564,0.717874465263649,0.04698787431544575,2.3685021389454044,0.05865748930527291,5.328744652636489,10.314978610545957,0.9964251982888437,3.4490363770536625,0.5697246791581894,10.60412981262716,4
6.820567499676105,0.9409825884802617,0.04822398959817849,2.007476354180162,0.08453280312054645,11.70094583279351,66.85047291639675,0.9954817820309464,3.3911199479908927,0.5970094583279351,9.676625104666003,4
6.97576898734457,0.7346474156120475,0.019809118612262443,1.8566808485708146,0.07490455930613123,5.490455930613122,13.509544069386878,0.9958564157993455,3.4867550164084617,0.5996182372245249,10.55858966244819,4
7.176841875700676,0.5261139222194989,0.16156146855147524,2.2845612504671173,0.08169826244861707,4.461403126167792,7.922806252335586,0.9954043853144852,3.412315812429932,0.5661579062149662,11.169298436916105,4
7.830732224592803,0.7637734314920025,0.19111841013118114,2.8636276167219354,0.08395769880986054,9.76221757705062,77.33552303935434,0.9978642845285282,3.6239192462620697,0.6069924687213499,12.042669453769628,4
7.5854219118380035,0.7022531934904316,0.03567263403382287,1.5567263403382288,0.07886547319323543,4.8654731932354265,13.567263403382286,0.9966931354782145,3.450112540748554,0.574618927729417,9.873094638647085,4
9.4020343172878,0.6649511323984164,0.11550857932194988,1.8642800276268245,0.08743857241524373,4.755085793219498,14.0,0.9979244914206781,3.3088771448304874,0.532449142067805,9.813262868982925,4
5.851371826411125,0.6304139756656038,0.0307182052183175,1.507182052183175,0.0798563589563365,5.8563589563365,13.07182052183175,0.9951968979759319,3.6334264069222524,0.61425435825346,10.0712717912673,4
7.65809703753041,0.6726871200821172,0.0945792672992698,2.178816056082725,0.07694545205778583,6.0,13.394080280413624,0.9970971331252798,3.491479929896594,0.5745327747627739,10.0,4
7.94288072946093,0.6507510789469284,0.11305172299206029,2.19420976916005,0.0802551003694108,6.0,13.47104884580025,0.9971864166611283,3.472237788549937,0.5676056038779774,10.0,4
6.552211713307829,0.7152211713307829,0.06633378371537876,2.76932973027697,0.07742654055969395,18.039945954154547,62.76890089907677,0.9972207572103311,3.7326675674307577,0.6492439640369293,11.259343241738334,4
5.038921880932371,0.6032122732600954,0.12988274712393297,2.0817115882944845,0.0600351758628201,8.731536468220618,65.3657682341103,0.993811489263374,3.7994137356196647,0.5673153646822062,12.423328766895928,4
4.6349359279442925,0.5266232696727722,0.1483987699692199,2.0985443363356544,0.05448036900923403,8.058226546573822,65.02911327328691,0.9934327524324478,3.8919938498460995,0.5605822654657383,13.046140444419215,4
7.367060620910175,0.7967060620910176,0.03141168767527819,3.0487064985977743,0.08720472745092211,22.23059747896662,61.83764500467409,0.9988155329294957,3.6628233753505564,0.6864941998130366,10.49105712885612,4
4.604373490949623,0.5208291409925327,0.1497995483314756,2.0998177712104327,0.05406013550055732,8.007289151582706,65.00364457579136,0.9934041001477653,3.898997741657378,0.5600728915158271,13.093257534785998,4
6.392051963151378,0.6766278207931513,0.06584638736618659,2.1,0.07152311778908266,5.4512801052817785,11.353840315845336,0.9960857929063346,3.5488460078961332,0.6017692015792266,10.384103926302755,4
5.952984397827257,0.7765032920880841,0.08798821509958404,2.043625650090531,0.07260353547012478,10.254973996378762,66.12748699818938,0.9946684228729631,3.5899410754979204,0.5825497399637877,11.014149053349644,4
6.358205928979669,0.7728303131554102,0.008518780791212939,2.1486787473783595,0.059756606263108185,5.878303131554101,12.513212526216403,0.9966010570020973,3.564443657626361,0.602698187893246,10.10952718160131,4
5.958259976545975,0.6322562623555202,0.03754231529570473,1.6885578823926184,0.07585172658736238,5.811442117607382,12.245768470429526,0.9952326675624061,3.607203792930067,0.6068009482325167,10.250846305914095,4
6.508826648906156,0.7828701610420266,0.004259677915946974,2.046754026050663,0.06191685506217614,5.787016104202651,13.106491947898675,0.9967848290491421,3.5580524156303976,0.6025455636470928,9.968052415630398,4
5.742226866768325,0.5948367851102194,0.052975109247190955,1.5656431692776884,0.08240691620684858,5.781189435741038,12.343568307223116,0.9949406140984334,3.6359308379315145,0.6156237887148208,10.242226866768325,4
8.503151150778926,0.8246848849221073,0.017618168154209742,2.047636636915805,0.07203151150778928,4.746061061526342,14.0,0.9970301206200157,3.3123818318457903,0.5698424424610536,10.669879379984245,4
6.434931729279649,0.6524313813350555,0.08054802146730805,2.1,0.07409590375677891,5.328766487772433,10.986299463317298,0.9959620541526502,3.5396574865829322,0.5999314973165865,10.469863458559297,4
5.772956907819079,0.7423730804407005,0.0962394750582922,2.0511267955075385,0.07012815748251233,9.954928179698467,65.97746408984924,0.9944996471010804,3.631197375291461,0.5795492817969847,11.291691433778919,4
6.289724856276372,0.7780980879787407,0.00483133841488156,2.1276076480850374,0.059861961759574804,5.930980879787406,12.723923519149626,0.996617913881532,3.575505984755355,0.6058588527872444,10.062117208191335,4
7.488511729078784,0.5672973470954757,0.12222964258291737,1.8513510193634946,0.09010134180670047,6.0,13.439188774204368,0.9962185123432563,3.519459592254602,0.5760811225795631,10.056081122579563,4
8.754017839962067,0.750666453369857,0.039011479542748764,1.5901147954274877,0.07819770409145024,4.197704091450247,13.901147954274876,0.9977014668219101,3.3265752569182956,0.5479081636580099,9.739540818290049,4
6.017502477666601,0.6372965312176163,0.031192864221904575,1.5119286422190457,0.07976142715561908,5.761427155619085,13.119286422190457,0.9953402449950152,3.615864023789531,0.6104570862247634,10.052285431123817,4
8.32526357700505,0.7329037767616378,0.03778646736287157,1.5778646736287159,0.07844270652742569,4.442706527425686,13.778646736287158,0.9973315131435873,3.3719007075737517,0.5577082610970274,9.788541305485136,4
6.0457722700671415,0.5411325983727364,0.10200936670315369,1.7057410477232964,0.08754383841652086,5.3141965075890125,10.942589522767037,0.994856555371366,3.5845616158347915,0.6062839301517803,10.545772270067141,4
4.695049498227795,0.5220367749620242,0.15339462493670697,2.115841583037966,0.05476944831898691,8.203677496202419,64.57001417468378,0.9934950494982278,3.8855162669367167,0.5588684583544311,13.014002834936756,4
8.55311162527267,0.6047095348272715,0.29118255804545246,2.7588519375454448,0.0860013798236359,16.470953482727147,47.116875980909356,0.9973531116252727,3.297621085672736,0.5129391473181826,9.52337519618187,4
7.073028597115387,0.41949351087194103,0.22427012753496478,2.0606753188374123,0.10011241530419576,4.0,7.550545536276232,0.9948858348446591,3.4282025956512236,0.5768540255069929,11.266296084047202,4
7.566444363958668,0.8240412675416762,0.006506877923612704,2.1650687792361274,0.0665068779236127,5.34931220763873,13.650687792361271,0.9966790412675417,3.414314296062457,0.5904793662291619,10.650687792361271,4
5.764620251506874,0.6652705691643903,0.021768987424656303,1.664620251506874,0.0745126582831042,6.0,13.0,0.9954354493625023,3.6407943039908646,0.617256329141552,10.07256329141552,4
8.001248516508662,0.8601248516508663,0.004232206435343028,3.2661423485172554,0.09481498219810396,25.492135227758837,61.11285883827581,1.0000567292394527,3.608464412870686,0.7154856464689674,9.893108541577547,4
8.675107956761753,0.607323741930609,0.2955395698843484,2.779184659460292,0.08698896917378562,16.7323741930609,46.564987814649214,0.9974751079567618,3.279031168493447,0.5114868100385506,9.412997562929842,4
6.169448697542147,0.6435914460410318,0.03162699627869185,1.5162699627869185,0.07967460074426164,5.67460074426163,13.162699627869184,0.995471352876165,3.599801137688402,0.6069840297704652,10.034920148852326,4
8.922368417022954,0.8775000025521297,0.04592105276590156,1.7184210553180312,0.07622368417022952,4.592105276590156,16.960526382950782,0.9969105262910741,3.2959210527659013,0.4807894723409844,9.640789472340984,4
4.910544302223292,0.5266545207619278,0.16109086793654614,2.1517573837038824,0.05651393006561713,8.66545207619277,63.59515672803749,0.9937105443022233,3.852678963470736,0.5563030440211514,12.819031345607497,4
6.32754005001588,0.7751892269218554,0.006867541154701242,2.1392430923125785,0.05980378453843709,5.901892269218553,12.607569076874215,0.9966086055261499,3.569397376535896,0.6041135361531133,10.088296957703301,4
5.383816023209648,0.6685984544001625,0.11407509893622444,2.0673409990329312,0.06477747031913267,9.306360038682747,65.65318001934138,0.994134827521759,3.720375494681122,0.5730636003868275,11.891616964218459,4
9.0702544995839,0.76797455004161,0.038884543734396274,1.6223091253120747,0.077702544995839,4.037181875520124,14.0,0.9979516635618239,3.2911154562656035,0.541487275020805,9.74833643817616,4
7.442121251611775,0.6565429487091228,0.08639897870999705,2.4614141677411836,0.06224444154846973,4.903535419352958,8.807070838705917,0.9961560102129,3.3857878748388224,0.5528939374194113,10.94823229032352,4
7.47137727325374,0.7366584669818732,0.18654480165959306,2.7786891736781567,0.08062549835198923,9.566205785411132,75.96344049787791,0.9973677213230414,3.6546277602855897,0.6017654876109635,12.160276528753322,4
8.266944496413851,0.8342569613345014,0.015430547017724533,2.1976388926009895,0.07075555436768342,4.976388926009894,13.834722482069253,0.9966508889661007,3.3228333288788128,0.58,11.009444429596043,4
5.908294100162593,0.5654556592020028,0.07980135464164956,1.6422895846904273,0.08521728477198233,5.5257013843652425,11.577104153095727,0.9948946262491857,3.607827152280177,0.6105140276873048,10.408294100162593,4
6.117376524636785,0.7622785442751157,0.004131173768160785,2.0173765246367843,0.06275411584544052,6.0,13.0,0.9964114083848284,3.5996394054590417,0.6113770579227202,10.013770579227202,4
6.820103989063842,0.7372352332748122,0.04022296145278971,2.1335191345439917,0.06720661392695815,6.0,13.167595672719957,0.9968344109803551,3.5481010818200107,0.5949163894552039,10.0,4
8.960900868760728,0.8530961164515395,0.04463663770797577,1.6927327541595154,0.07660900868760727,4.463663770797576,16.318318853987883,0.9971468586617325,3.294636637707976,0.4936336229202424,9.653633622920243,4
7.343396043154872,0.7270017014380495,0.18491594964015293,2.748439064745697,0.07943876330925427,9.496397841720839,75.47478489204588,0.9971908745323593,3.6655643381304017,0.5999039424458891,12.202161294967496,4
8.88996722462001,0.7291989587420473,0.05909388867090809,1.6477347216772702,0.08029126664050897,4.0,13.331713896518217,0.9976773132814617,3.304320416503181,0.5438187777341816,9.862298053702718,4
5.965728050561486,0.6565728050561487,0.09146879783307914,2.568249617335367,0.07038873660673783,15.023744260030503,63.43916794221544,0.996072924898956,3.782937595666158,0.6224332823113823,11.81231355232774,4
8.226689660966844,0.7710228299243667,0.027954340151266813,1.750570748109165,0.07257945306807007,4.60228299243666,13.69885850378167,0.997590447565143,3.3803424488654987,0.5610799047352831,9.790342448865498,4
7.809683267493626,0.6856470619354282,0.09055203462604725,2.164977376249545,0.08120723960014571,4.649773762495447,11.548416337468126,0.9959715294259905,3.3620271485005464,0.58,11.140090495001822,4
9.943900008790763,0.9232215461178486,0.21801327283915517,3.363103638441453,0.10355252735424161,10.914854550249508,85.40398185174655,1.0007842981939654,3.443339453794244,0.6377294546733202,11.351087269850296,4
5.057988623947987,0.606827009956806,0.12900885473571722,2.080917140668834,0.06029734357928483,8.763314373246647,65.38165718662333,0.9938293643349512,3.795044273678586,0.5676331437324665,12.393934204746852,4
5.666149508419492,0.6381911148153605,0.026692524579025368,1.5661495084194925,0.07779501638601691,6.0,13.0,0.9951630136399606,3.652282557351059,0.6188975081930085,10.088975081930084,4
6.488256256710628,0.877981915334723,0.06345492156742959,2.0213226559703905,0.07996352352977112,11.14709376118438,66.57354688059219,0.9951702402406662,3.467274607837148,0.5914709376118438,10.18893827090445,4
8.434201559848795,0.7695917133803531,0.030816573239293717,1.7147928345088286,0.07386745795768217,4.459171338035314,13.770414330982343,0.997687763490136,3.358875700705297,0.5560709968312361,9.768875700705296,4
5.565148979584094,0.6165148979584094,0.10863647230353882,2.4309082215716895,0.06558178775500913,12.96362332357534,63.89697259476104,0.9952889344314717,3.8172729446070774,0.6041210962095587,12.190002390677854,4
8.99015970147062,0.7462772218415832,0.04998548168448902,1.6249637042112226,0.07919825780213868,4.0,13.650508141042884,0.9978312453595322,3.2974891112633666,0.5419970963368979,9.784876594318156,4
8.262067099513065,0.770778847589565,0.028442304820869867,1.7444711897391267,0.07279903716939144,4.577884758956507,13.711057620521746,0.9976070383639095,3.376682713843476,0.5602259665634778,9.786682713843476,4
5.942039191452497,0.7140607776494368,0.012898040427375135,1.8420391914524974,0.06859869361825009,6.0,13.0,0.9959263084296852,3.6200954276638755,0.614299346809125,10.04299346809125,4
8.118241650874461,0.7717707472353486,0.026458505529302925,1.7692686808837135,0.07190632748818632,4.6770747235348535,13.661462638232573,0.9975395891879962,3.391561208530228,0.5636976153237199,9.801561208530227,4
9.52818642791678,0.5103761927092992,0.22184166275872635,2.230825381938005,0.10101122973071765,6.0,13.913531727422507,0.9975561594713315,3.3676698472247977,0.5286468272577494,10.00864682725775,4
7.967523458738471,0.7180831147191652,0.03676435273925278,1.5676435273925278,0.07864712945214944,4.647129452149445,13.676435273925277,0.9970228345272544,3.4097189486476474,0.5658851780859778,9.829425890429889,4
7.417795048185272,0.569270835864597,0.11877603723695514,1.838194427569353,0.08972308979261889,6.0,13.422743034461691,0.996172135357182,3.5247222289722586,0.5777256965538309,10.057725696553831,4
7.772833109420543,0.7594046800744592,0.19038151230171602,2.849942371317583,0.08342081610553595,9.730636241502115,77.11445369051481,0.997784278478472,3.6288669888313354,0.6061502997733897,12.06161825509873,4
6.667689875685008,0.708974156307084,0.022091186106036973,1.7768084862887061,0.07604559305301849,5.604559305301849,13.395440694698152,0.9956601579948808,3.5255501638026288,0.6041823722120739,10.455896625228336,4
8.728424254734609,0.802157574526539,0.026065909552547856,1.8786818089490431,0.0742842425473461,4.464469681581738,14.0,0.9973961894139437,3.303934090447452,0.5585787872632695,10.30381058605626,4
8.413812588858224,0.7365722358241265,0.038039464539594926,1.5803946453959494,0.07839210709208101,4.392107092081014,13.803946453959492,0.9974079182909577,3.3625398120349876,0.5556842836832406,9.778421418416203,4
6.378646278709587,0.6978646278709587,0.0737723023410177,2.7098215812718585,0.07534375534451504,17.147323719077875,62.967261395760474,0.9968810648597602,3.7475446046820355,0.6413095441695811,11.42299065150239,4
9.065548180289108,0.7684451819710891,0.038708056760841575,1.6258388647831685,0.07765548180289109,4.043064774638614,14.0,0.9979440157929698,3.2912919432391585,0.5417225909855446,9.755984207030197,4
9.574527853647275,0.6078126484793398,0.158631963411819,2.0152118719413665,0.09282899542647738,5.18631963411819,14.0,0.9978813680365882,3.3196579908529547,0.5281368036588181,9.877947945117729,4
8.120860372365753,0.8398817249247358,0.009146954154122628,2.1914695415412266,0.06914695415412263,5.085304584587737,13.914695415412263,0.9966948817249247,3.3430322378386887,0.5825591375376321,10.914695415412263,4
7.693927873147944,0.8293927873147944,0.01740309115080238,3.1607752707935806,0.09112713447777535,23.911629061903717,61.464082430688066,0.9994552588374468,3.6348061823016047,0.7014367027724775,10.182868005317653,4
6.1018891508951985,0.7580195164961796,0.004905542455240081,2.0018891508951984,0.06327036163682671,6.0,13.0,0.9963685599841433,3.6014462657288933,0.6116351808184134,10.016351808184133,4
7.509430229516928,0.49388015275856734,0.18459725186209744,1.9614931296552438,0.09535167022345169,4.0,8.939096184826589,0.9955563064435305,3.398447938896573,0.5689194503724194,10.929076640827828,4
5.613267723233548,0.5417128797835761,0.18618813297262674,2.2688779538722583,0.062202643473795394,10.171287978357604,60.41616982346728,0.9944132677232336,3.7455972993167923,0.5479372890091244,12.183233964693455,4
7.124054171539462,0.7139189098815799,0.049756763082894104,2.3843243604736806,0.05857837819763152,5.289189098815799,10.156756395263194,0.996412540511621,3.4407297107513175,0.567351345928948,10.63972981106578,4
8.088419949965417,0.77623648373876,0.04475957964853891,2.1848871392832443,0.07483611542936194,4.848871392832439,12.942099749827076,0.9963856524970915,3.338135432860107,0.58,11.060451442867024,4
6.267692442356614,0.6476615440404883,0.03190769269244747,1.5190769269244746,0.07961846146151051,5.618461461510506,13.190769269244747,0.9955561231931191,3.589415370379444,0.6047384584604203,10.023692292302101,4
8.85458443452552,0.789541556547448,0.030796916294707023,1.7840616741058597,0.07554584434525521,4.306769456843099,14.0,0.997601199706104,3.299203083705293,0.552270778273724,10.098800293896028,4
